vgs	-I(Vds)
Step Information: Vds=600m  (Run: 1/41)
1.260000000000001e+000	6.143234e-004
1.280000000000001e+000	6.312569e-004
1.300000000000001e+000	6.480561e-004
1.320000000000001e+000	6.647039e-004
1.340000000000001e+000	6.811827e-004
1.360000000000001e+000	6.974752e-004
1.380000000000001e+000	7.135636e-004
1.400000000000001e+000	7.294312e-004
1.420000000000001e+000	7.450616e-004
1.440000000000001e+000	7.604398e-004
1.460000000000001e+000	7.755522e-004
1.480000000000001e+000	7.903869e-004
1.500000000000001e+000	8.049340e-004
1.520000000000001e+000	8.191857e-004
1.540000000000001e+000	8.331363e-004
1.560000000000001e+000	8.467821e-004
1.580000000000001e+000	8.601213e-004
1.600000000000001e+000	8.731540e-004
1.620000000000001e+000	8.858814e-004
1.640000000000001e+000	8.983062e-004
1.660000000000001e+000	9.104322e-004
1.680000000000001e+000	9.222637e-004
1.700000000000001e+000	9.338059e-004
1.720000000000001e+000	9.450643e-004
1.740000000000001e+000	9.560446e-004
1.760000000000001e+000	9.667529e-004
1.780000000000001e+000	9.771952e-004
1.800000000000000e+000	9.873777e-004
Step Information: Vds=630m  (Run: 2/41)
0.000000000000000e+000	1.469014e-010
2.000000000000000e-002	2.715143e-010
4.000000000000000e-002	5.016299e-010
6.000000000000000e-002	9.256119e-010
8.000000000000000e-002	1.704449e-009
1.000000000000000e-001	3.129480e-009
1.200000000000000e-001	5.723286e-009
1.400000000000000e-001	1.041247e-008
1.600000000000000e-001	1.881579e-008
1.800000000000000e-001	3.370880e-008
2.000000000000000e-001	5.974262e-008
2.200000000000000e-001	1.045033e-007
2.400000000000000e-001	1.799942e-007
2.600000000000000e-001	3.046119e-007
2.800000000000000e-001	5.056880e-007
3.000000000000000e-001	8.226786e-007
3.200000000000000e-001	1.311007e-006
3.400000000000000e-001	2.046182e-006
3.600000000000000e-001	3.126969e-006
3.800000000000001e-001	4.675454e-006
4.000000000000001e-001	6.831570e-006
4.200000000000001e-001	9.741041e-006
4.400000000000001e-001	1.353845e-005
4.600000000000001e-001	1.832990e-005
4.800000000000002e-001	2.418046e-005
5.000000000000001e-001	3.110995e-005
5.200000000000001e-001	3.909694e-005
5.400000000000002e-001	4.808837e-005
5.600000000000002e-001	5.801116e-005
5.800000000000002e-001	6.878277e-005
6.000000000000002e-001	8.031926e-005
6.200000000000002e-001	9.254049e-005
6.400000000000002e-001	1.053729e-004
6.600000000000003e-001	1.187508e-004
6.800000000000003e-001	1.326160e-004
7.000000000000003e-001	1.469175e-004
7.200000000000003e-001	1.616105e-004
7.400000000000003e-001	1.766557e-004
7.600000000000003e-001	1.920184e-004
7.800000000000004e-001	2.076674e-004
8.000000000000004e-001	2.235751e-004
8.200000000000004e-001	2.397162e-004
8.400000000000004e-001	2.560680e-004
8.600000000000004e-001	2.726095e-004
8.800000000000005e-001	2.893213e-004
9.000000000000005e-001	3.061856e-004
9.200000000000005e-001	3.231856e-004
9.400000000000005e-001	3.403059e-004
9.600000000000005e-001	3.575316e-004
9.800000000000005e-001	3.748489e-004
1.000000000000000e+000	3.922444e-004
1.020000000000001e+000	4.097057e-004
1.040000000000001e+000	4.272203e-004
1.060000000000001e+000	4.447767e-004
1.080000000000001e+000	4.623633e-004
1.100000000000001e+000	4.799689e-004
1.120000000000001e+000	4.975823e-004
1.140000000000001e+000	5.151925e-004
1.160000000000001e+000	5.327882e-004
1.180000000000001e+000	5.503584e-004
1.200000000000001e+000	5.678915e-004
1.220000000000001e+000	5.853758e-004
1.240000000000001e+000	6.027990e-004
1.260000000000001e+000	6.201487e-004
1.280000000000001e+000	6.374117e-004
1.300000000000001e+000	6.545743e-004
1.320000000000001e+000	6.716222e-004
1.340000000000001e+000	6.885405e-004
1.360000000000001e+000	7.053139e-004
1.380000000000001e+000	7.219263e-004
1.400000000000001e+000	7.383617e-004
1.420000000000001e+000	7.546035e-004
1.440000000000001e+000	7.706356e-004
1.460000000000001e+000	7.864421e-004
1.480000000000001e+000	8.020080e-004
1.500000000000001e+000	8.173191e-004
1.520000000000001e+000	8.323628e-004
1.540000000000001e+000	8.471279e-004
1.560000000000001e+000	8.616052e-004
1.580000000000001e+000	8.757875e-004
1.600000000000001e+000	8.896693e-004
1.620000000000001e+000	9.032473e-004
1.640000000000001e+000	9.165198e-004
1.660000000000001e+000	9.294870e-004
1.680000000000001e+000	9.421503e-004
1.700000000000001e+000	9.545124e-004
1.720000000000001e+000	9.665770e-004
1.740000000000001e+000	9.783487e-004
1.760000000000001e+000	9.898323e-004
1.780000000000001e+000	1.001033e-003
1.800000000000000e+000	1.011958e-003
Step Information: Vds=660m  (Run: 3/41)
0.000000000000000e+000	1.567324e-010
2.000000000000000e-002	2.896714e-010
4.000000000000000e-002	5.351262e-010
6.000000000000000e-002	9.872800e-010
8.000000000000000e-002	1.817646e-009
1.000000000000000e-001	3.336420e-009
1.200000000000000e-001	6.099559e-009
1.400000000000000e-001	1.109181e-008
1.600000000000000e-001	2.003122e-008
1.800000000000000e-001	3.585858e-008
2.000000000000000e-001	6.349180e-008
2.200000000000000e-001	1.109328e-007
2.400000000000000e-001	1.908085e-007
2.600000000000000e-001	3.224160e-007
2.800000000000000e-001	5.343408e-007
3.000000000000000e-001	8.677253e-007
3.200000000000000e-001	1.380169e-006
3.400000000000000e-001	2.149818e-006
3.600000000000000e-001	3.278323e-006
3.800000000000001e-001	4.890434e-006
4.000000000000001e-001	7.127848e-006
4.200000000000001e-001	1.013649e-005
4.400000000000001e-001	1.404927e-005
4.600000000000001e-001	1.896889e-005
4.800000000000002e-001	2.495602e-005
5.000000000000001e-001	3.202593e-005
5.200000000000001e-001	4.015319e-005
5.400000000000002e-001	4.928180e-005
5.600000000000002e-001	5.933676e-005
5.800000000000002e-001	7.023455e-005
6.000000000000002e-001	8.189096e-005
6.200000000000002e-001	9.422603e-005
6.400000000000002e-001	1.071667e-004
6.600000000000003e-001	1.206477e-004
6.800000000000003e-001	1.346115e-004
7.000000000000003e-001	1.490077e-004
7.200000000000003e-001	1.637922e-004
7.400000000000003e-001	1.789260e-004
7.600000000000003e-001	1.943750e-004
7.800000000000004e-001	2.101085e-004
8.000000000000004e-001	2.260991e-004
8.200000000000004e-001	2.423222e-004
8.400000000000004e-001	2.587553e-004
8.600000000000004e-001	2.753778e-004
8.800000000000005e-001	2.921708e-004
9.000000000000005e-001	3.091169e-004
9.200000000000005e-001	3.261998e-004
9.400000000000005e-001	3.434043e-004
9.600000000000005e-001	3.607163e-004
9.800000000000005e-001	3.781222e-004
1.000000000000000e+000	3.956096e-004
1.020000000000001e+000	4.131662e-004
1.040000000000001e+000	4.307808e-004
1.060000000000001e+000	4.484423e-004
1.080000000000001e+000	4.661400e-004
1.100000000000001e+000	4.838637e-004
1.120000000000001e+000	5.016033e-004
1.140000000000001e+000	5.193490e-004
1.160000000000001e+000	5.370910e-004
1.180000000000001e+000	5.548195e-004
1.200000000000001e+000	5.725248e-004
1.220000000000001e+000	5.901970e-004
1.240000000000001e+000	6.078260e-004
1.260000000000001e+000	6.254013e-004
1.280000000000001e+000	6.429122e-004
1.300000000000001e+000	6.603478e-004
1.320000000000001e+000	6.776962e-004
1.340000000000001e+000	6.949453e-004
1.360000000000001e+000	7.120826e-004
1.380000000000001e+000	7.290945e-004
1.400000000000001e+000	7.459673e-004
1.420000000000001e+000	7.626864e-004
1.440000000000001e+000	7.792371e-004
