vds	abs(I(Vds))
Step Information: Vgs=600m  (Run: 1/5)
1.800000000000000e+000	1.513636e-004
Step Information: Vgs=900m  (Run: 2/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	2.886818e-005
4.000000000000000e-002	5.586978e-005
6.000000000000000e-002	8.106048e-005
8.000000000000000e-002	1.044929e-004
1.000000000000000e-001	1.262168e-004
1.200000000000000e-001	1.462786e-004
1.400000000000000e-001	1.647221e-004
1.600000000000000e-001	1.815877e-004
1.800000000000000e-001	1.969133e-004
2.000000000000000e-001	2.107343e-004
2.200000000000000e-001	2.230855e-004
2.400000000000000e-001	2.340040e-004
2.600000000000000e-001	2.435347e-004
2.800000000000000e-001	2.517406e-004
3.000000000000000e-001	2.587136e-004
3.200000000000000e-001	2.645837e-004
3.400000000000000e-001	2.695157e-004
3.600000000000000e-001	2.736912e-004
3.800000000000001e-001	2.772846e-004
4.000000000000001e-001	2.804443e-004
4.200000000000001e-001	2.832868e-004
4.400000000000001e-001	2.858982e-004
4.600000000000001e-001	2.883407e-004
4.800000000000002e-001	2.906584e-004
5.000000000000001e-001	2.928829e-004
5.200000000000001e-001	2.950369e-004
5.400000000000002e-001	2.971371e-004
5.600000000000002e-001	2.991955e-004
5.800000000000002e-001	3.012214e-004
6.000000000000002e-001	3.032218e-004
6.200000000000002e-001	3.052018e-004
6.400000000000002e-001	3.071658e-004
6.600000000000003e-001	3.091169e-004
6.800000000000003e-001	3.110579e-004
7.000000000000003e-001	3.129908e-004
7.200000000000003e-001	3.149173e-004
7.400000000000003e-001	3.168389e-004
7.600000000000003e-001	3.187568e-004
7.800000000000004e-001	3.206719e-004
8.000000000000004e-001	3.225850e-004
8.200000000000004e-001	3.244968e-004
8.400000000000004e-001	3.264079e-004
8.600000000000004e-001	3.283188e-004
8.800000000000005e-001	3.302300e-004
9.000000000000005e-001	3.321418e-004
9.200000000000005e-001	3.340545e-004
9.400000000000005e-001	3.359684e-004
9.600000000000005e-001	3.378839e-004
9.800000000000005e-001	3.398010e-004
1.000000000000000e+000	3.417200e-004
1.020000000000001e+000	3.436411e-004
1.040000000000001e+000	3.455643e-004
1.060000000000001e+000	3.474899e-004
1.080000000000001e+000	3.494180e-004
1.100000000000001e+000	3.513486e-004
1.120000000000001e+000	3.532819e-004
1.140000000000001e+000	3.552179e-004
1.160000000000001e+000	3.571567e-004
1.180000000000001e+000	3.590985e-004
1.200000000000001e+000	3.610431e-004
1.220000000000001e+000	3.629908e-004
1.240000000000001e+000	3.649416e-004
1.260000000000001e+000	3.668955e-004
1.280000000000001e+000	3.688525e-004
1.300000000000001e+000	3.708127e-004
1.320000000000001e+000	3.727761e-004
1.340000000000001e+000	3.747428e-004
1.360000000000001e+000	3.767128e-004
1.380000000000001e+000	3.786861e-004
1.400000000000001e+000	3.806627e-004
1.420000000000001e+000	3.826427e-004
1.440000000000001e+000	3.846261e-004
1.460000000000001e+000	3.866129e-004
1.480000000000001e+000	3.886030e-004
1.500000000000001e+000	3.905967e-004
1.520000000000001e+000	3.925937e-004
1.540000000000001e+000	3.945943e-004
1.560000000000001e+000	3.965983e-004
1.580000000000001e+000	3.986058e-004
1.600000000000001e+000	4.006167e-004
1.620000000000001e+000	4.026312e-004
1.640000000000001e+000	4.046492e-004
1.660000000000001e+000	4.066707e-004
1.680000000000001e+000	4.086957e-004
1.700000000000001e+000	4.107243e-004
1.720000000000001e+000	4.127564e-004
1.740000000000001e+000	4.147920e-004
1.760000000000001e+000	4.168312e-004
1.780000000000001e+000	4.188740e-004
1.800000000000000e+000	4.209203e-004
Step Information: Vgs=1.2  (Run: 3/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	3.954412e-005
4.000000000000000e-002	7.734449e-005
6.000000000000000e-002	1.134441e-004
8.000000000000000e-002	1.478841e-004
1.000000000000000e-001	1.807040e-004
1.200000000000000e-001	2.119412e-004
1.400000000000000e-001	2.416316e-004
1.600000000000000e-001	2.698090e-004
