vds	d(abs(I(Vds)))/d(VDS)
Step Information: Vgs=600m  (Run: 1/5)
1.780000000000001e+000	6.879854e-005
1.800000000000000e+000	6.893533e-005
Step Information: Vgs=900m  (Run: 2/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	1.396744e-003
4.000000000000000e-002	1.304807e-003
6.000000000000000e-002	1.215579e-003
8.000000000000000e-002	1.128908e-003
1.000000000000000e-001	1.044643e-003
1.200000000000000e-001	9.626328e-004
1.400000000000000e-001	8.827268e-004
1.600000000000000e-001	8.047798e-004
1.800000000000000e-001	7.286650e-004
2.000000000000000e-001	6.543065e-004
2.200000000000000e-001	5.817416e-004
2.400000000000000e-001	5.112299e-004
2.600000000000000e-001	4.434147e-004
2.800000000000000e-001	3.794710e-004
3.000000000000000e-001	3.210786e-004
3.200000000000000e-001	2.700537e-004
3.400000000000000e-001	2.276880e-004
3.600000000000000e-001	1.942208e-004
3.800000000000001e-001	1.688270e-004
4.000000000000001e-001	1.500564e-004
4.200000000000001e-001	1.363485e-004
4.400000000000001e-001	1.263463e-004
4.600000000000001e-001	1.190027e-004
4.800000000000002e-001	1.135551e-004
5.000000000000001e-001	1.094646e-004
5.200000000000001e-001	1.063549e-004
5.400000000000002e-001	1.039647e-004
5.600000000000002e-001	1.021093e-004
5.800000000000002e-001	1.006556e-004
6.000000000000002e-001	9.950891e-005
6.200000000000002e-001	9.860014e-005
6.400000000000002e-001	9.787764e-005
6.600000000000003e-001	9.730284e-005
6.800000000000003e-001	9.684663e-005
7.000000000000003e-001	9.648647e-005
7.200000000000003e-001	9.620417e-005
7.400000000000003e-001	9.598662e-005
7.600000000000003e-001	9.582291e-005
7.800000000000004e-001	9.570431e-005
8.000000000000004e-001	9.562282e-005
8.200000000000004e-001	9.557261e-005
8.400000000000004e-001	9.555079e-005
8.600000000000004e-001	9.555224e-005
8.800000000000005e-001	9.557407e-005
9.000000000000005e-001	9.561336e-005
9.200000000000005e-001	9.566720e-005
9.400000000000005e-001	9.573487e-005
9.600000000000005e-001	9.581418e-005
9.800000000000005e-001	9.590294e-005
1.000000000000000e+000	9.600117e-005
1.020000000000001e+000	9.610812e-005
1.040000000000001e+000	9.622163e-005
1.060000000000001e+000	9.634095e-005
1.080000000000001e+000	9.646683e-005
1.100000000000001e+000	9.659707e-005
1.120000000000001e+000	9.673167e-005
1.140000000000001e+000	9.687137e-005
1.160000000000001e+000	9.701471e-005
1.180000000000001e+000	9.716023e-005
1.200000000000001e+000	9.730938e-005
1.220000000000001e+000	9.746145e-005
1.240000000000001e+000	9.761570e-005
1.260000000000001e+000	9.777214e-005
1.280000000000001e+000	9.793002e-005
1.300000000000001e+000	9.809155e-005
1.320000000000001e+000	9.825380e-005
1.340000000000001e+000	9.841679e-005
1.360000000000001e+000	9.858195e-005
1.380000000000001e+000	9.874784e-005
1.400000000000001e+000	9.891519e-005
1.420000000000001e+000	9.908399e-005
1.440000000000001e+000	9.925425e-005
1.460000000000001e+000	9.942451e-005
1.480000000000001e+000	9.959476e-005
1.500000000000001e+000	9.976720e-005
1.520000000000001e+000	9.994037e-005
1.540000000000001e+000	1.001135e-004
1.560000000000001e+000	1.002874e-004
1.580000000000001e+000	1.004613e-004
1.600000000000001e+000	1.006367e-004
1.620000000000001e+000	1.008120e-004
1.640000000000001e+000	1.009874e-004
1.660000000000001e+000	1.011635e-004
1.680000000000001e+000	1.013395e-004
1.700000000000001e+000	1.015163e-004
1.720000000000001e+000	1.016931e-004
1.740000000000001e+000	1.018707e-004
1.760000000000001e+000	1.020482e-004
1.780000000000001e+000	1.022257e-004
1.800000000000000e+000	1.023145e-004
Step Information: Vgs=1.2  (Run: 3/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	1.933612e-003
4.000000000000000e-002	1.847500e-003
6.000000000000000e-002	1.763491e-003
8.000000000000000e-002	1.681497e-003
1.000000000000000e-001	1.601426e-003
1.200000000000000e-001	1.523190e-003
1.400000000000000e-001	1.446695e-003
1.600000000000000e-001	1.371846e-003
1.800000000000000e-001	1.298543e-003
2.000000000000000e-001	1.226680e-003
2.200000000000000e-001	1.156142e-003
2.400000000000000e-001	1.086805e-003
2.600000000000000e-001	1.018530e-003
2.800000000000000e-001	9.511677e-004
3.000000000000000e-001	8.845615e-004
3.200000000000000e-001	8.185554e-004
3.400000000000000e-001	7.530238e-004
3.600000000000000e-001	6.879149e-004
3.800000000000001e-001	6.233378e-004
4.000000000000001e-001	5.596725e-004
4.200000000000001e-001	4.976842e-004
4.400000000000001e-001	4.385642e-004
4.600000000000001e-001	3.837951e-004
4.800000000000002e-001	3.348250e-004
5.000000000000001e-001	2.926579e-004
5.200000000000001e-001	2.575995e-004
5.400000000000002e-001	2.292669e-004
5.600000000000002e-001	2.068176e-004
5.800000000000002e-001	1.892317e-004
6.000000000000002e-001	1.755092e-004
6.200000000000002e-001	1.647888e-004
6.400000000000002e-001	1.563749e-004
6.600000000000003e-001	1.497232e-004
6.800000000000003e-001	1.444248e-004
7.000000000000003e-001	1.401670e-004
7.200000000000003e-001	1.367167e-004
7.400000000000003e-001	1.339024e-004
7.600000000000003e-001	1.315857e-004
7.800000000000004e-001	1.296692e-004
8.000000000000004e-001	1.280729e-004
8.200000000000004e-001	1.267355e-004
8.400000000000004e-001	1.256121e-004
8.600000000000004e-001	1.246633e-004
8.800000000000005e-001	1.238615e-004
9.000000000000005e-001	1.231805e-004
9.200000000000005e-001	1.226013e-004
9.400000000000005e-001	1.221095e-004
9.600000000000005e-001	1.216918e-004
9.800000000000005e-001	1.213382e-004
1.000000000000000e+000	1.210399e-004
1.020000000000001e+000	1.207867e-004
1.040000000000001e+000	1.205743e-004
1.060000000000001e+000	1.203996e-004
1.080000000000001e+000	1.202570e-004
1.100000000000001e+000	1.201406e-004
1.120000000000001e+000	1.200489e-004
1.140000000000001e+000	1.199791e-004
1.160000000000001e+000	1.199296e-004
1.180000000000001e+000	1.198961e-004
1.200000000000001e+000	1.198772e-004
1.220000000000001e+000	1.198758e-004
1.240000000000001e+000	1.198845e-004
1.260000000000001e+000	1.199020e-004
1.280000000000001e+000	1.199325e-004
1.300000000000001e+000	1.199733e-004
